ResponseID,Mode,gender,age,Stimulus,RecommendationFollowed
R_0JQENWqu4iXjT7b,Auditory,2,70,hotel,1
R_0JQENWqu4iXjT7b,Auditory,2,70,shampoo,1
R_0JQENWqu4iXjT7b,Auditory,2,70,toaster,0
R_0kc4popJM4bZaLv,DisappearingVisual,2,42,brownies,1
R_0kc4popJM4bZaLv,DisappearingVisual,2,42,hotel,1
R_0kc4popJM4bZaLv,DisappearingVisual,2,42,shampoo,0
R_0kc4popJM4bZaLv,DisappearingVisual,2,42,toaster,1
R_0NYJzDXEaOHVJzr,Auditory,1,32,brownies,1
R_0NYJzDXEaOHVJzr,Auditory,1,32,hotel,1
R_0NYJzDXEaOHVJzr,Auditory,1,32,shampoo,0
R_0NYJzDXEaOHVJzr,Auditory,1,32,toaster,0
R_0P95KXHK7DcrkT7,Auditory,1,46,brownies,0
R_0P95KXHK7DcrkT7,Auditory,1,46,hotel,1
R_0P95KXHK7DcrkT7,Auditory,1,46,shampoo,1
R_0P95KXHK7DcrkT7,Auditory,1,46,toaster,1
R_0pnNrYQ7YyH06Tn,Auditory,2,38,brownies,0
R_0pnNrYQ7YyH06Tn,Auditory,2,38,hotel,0
R_0pnNrYQ7YyH06Tn,Auditory,2,38,shampoo,0
R_0pnNrYQ7YyH06Tn,Auditory,2,38,toaster,1
R_0qsfsLrj5qX7rFv,PermanentVisual,2,35,brownies,1
R_0qsfsLrj5qX7rFv,PermanentVisual,2,35,hotel,1
R_0qsfsLrj5qX7rFv,PermanentVisual,2,35,shampoo,0
R_0qsfsLrj5qX7rFv,PermanentVisual,2,35,toaster,1
R_0rq7qc7kSBtesw1,Auditory,2,28,brownies,0
R_0rq7qc7kSBtesw1,Auditory,2,28,hotel,1
R_0rq7qc7kSBtesw1,Auditory,2,28,shampoo,1
R_0rq7qc7kSBtesw1,Auditory,2,28,toaster,0
R_0SBCb6fSsipEzbH,DisappearingVisual,2,23,brownies,0
R_0SBCb6fSsipEzbH,DisappearingVisual,2,23,hotel,0
R_0SBCb6fSsipEzbH,DisappearingVisual,2,23,shampoo,0
R_0SBCb6fSsipEzbH,DisappearingVisual,2,23,toaster,0
R_0SwBflCegQGzUv7,Auditory,1,41,brownies,0
R_0SwBflCegQGzUv7,Auditory,1,41,hotel,0
R_0SwBflCegQGzUv7,Auditory,1,41,shampoo,1
R_0SwBflCegQGzUv7,Auditory,1,41,toaster,1
R_0vK0OfskhTeacCt,PermanentVisual,1,29,brownies,0
R_0vK0OfskhTeacCt,PermanentVisual,1,29,hotel,1
R_0vK0OfskhTeacCt,PermanentVisual,1,29,shampoo,1
R_0vK0OfskhTeacCt,PermanentVisual,1,29,toaster,1
R_0VRSmFEqU8720kV,Auditory,1,23,brownies,1
R_0VRSmFEqU8720kV,Auditory,1,23,hotel,1
R_0VRSmFEqU8720kV,Auditory,1,23,shampoo,1
R_0VRSmFEqU8720kV,Auditory,1,23,toaster,1
R_0VTxtnHCCw3TkWt,Auditory,2,39,brownies,1
R_0VTxtnHCCw3TkWt,Auditory,2,39,hotel,1
R_0VTxtnHCCw3TkWt,Auditory,2,39,shampoo,0
R_0VTxtnHCCw3TkWt,Auditory,2,39,toaster,0
R_0w8x1fERIzaz2QF,PermanentVisual,1,28,brownies,0
R_0w8x1fERIzaz2QF,PermanentVisual,1,28,hotel,1
R_0w8x1fERIzaz2QF,PermanentVisual,1,28,shampoo,0
R_0w8x1fERIzaz2QF,PermanentVisual,1,28,toaster,1
R_10BOkKCCJOPbho1,DisappearingVisual,1,40,brownies,1
R_10BOkKCCJOPbho1,DisappearingVisual,1,40,hotel,1
R_10BOkKCCJOPbho1,DisappearingVisual,1,40,shampoo,0
R_10BOkKCCJOPbho1,DisappearingVisual,1,40,toaster,1
R_10CXNiVuPbLxGvV,DisappearingVisual,1,59,brownies,1
R_10CXNiVuPbLxGvV,DisappearingVisual,1,59,hotel,0
R_10CXNiVuPbLxGvV,DisappearingVisual,1,59,shampoo,0
R_10CXNiVuPbLxGvV,DisappearingVisual,1,59,toaster,0
R_10GaM8zGCGkGjvN,PermanentVisual,1,30,brownies,0
R_10GaM8zGCGkGjvN,PermanentVisual,1,30,hotel,0
R_10GaM8zGCGkGjvN,PermanentVisual,1,30,shampoo,0
R_10GaM8zGCGkGjvN,PermanentVisual,1,30,toaster,0
R_10NK9QniDMWxT9v,PermanentVisual,2,38,brownies,0
R_10NK9QniDMWxT9v,PermanentVisual,2,38,hotel,1
R_10NK9QniDMWxT9v,PermanentVisual,2,38,shampoo,0
R_10NK9QniDMWxT9v,PermanentVisual,2,38,toaster,1
R_10NutPlOgcJezGQ,PermanentVisual,2,50,brownies,0
R_10NutPlOgcJezGQ,PermanentVisual,2,50,hotel,0
R_10NutPlOgcJezGQ,PermanentVisual,2,50,shampoo,0
R_10NutPlOgcJezGQ,PermanentVisual,2,50,toaster,1
R_10OgwUNsM2enIXr,PermanentVisual,1,23,brownies,0
R_10OgwUNsM2enIXr,PermanentVisual,1,23,hotel,1
R_10OgwUNsM2enIXr,PermanentVisual,1,23,shampoo,0
R_10OgwUNsM2enIXr,PermanentVisual,1,23,toaster,1
R_10qFbF9ikCGqF7Y,Auditory,1,22,brownies,1
R_10qFbF9ikCGqF7Y,Auditory,1,22,hotel,1
R_10qFbF9ikCGqF7Y,Auditory,1,22,shampoo,0
R_10qFbF9ikCGqF7Y,Auditory,1,22,toaster,0
R_10r3KUMiZSJTf3R,Auditory,1,37,brownies,0
R_10r3KUMiZSJTf3R,Auditory,1,37,hotel,0
R_10r3KUMiZSJTf3R,Auditory,1,37,shampoo,0
R_10r3KUMiZSJTf3R,Auditory,1,37,toaster,0
R_10SnqH16nP5BYlk,Auditory,1,29,brownies,1
R_10SnqH16nP5BYlk,Auditory,1,29,hotel,1
R_10SnqH16nP5BYlk,Auditory,1,29,shampoo,1
R_10SnqH16nP5BYlk,Auditory,1,29,toaster,1
R_10v0iIBZhDQJ5Zp,PermanentVisual,1,41,brownies,1
R_10v0iIBZhDQJ5Zp,PermanentVisual,1,41,hotel,0
R_10v0iIBZhDQJ5Zp,PermanentVisual,1,41,shampoo,1
R_10v0iIBZhDQJ5Zp,PermanentVisual,1,41,toaster,1
R_10wonMIVaC31AkB,Auditory,2,27,brownies,1
R_10wonMIVaC31AkB,Auditory,2,27,hotel,1
R_10wonMIVaC31AkB,Auditory,2,27,shampoo,1
R_10wonMIVaC31AkB,Auditory,2,27,toaster,1
R_10wRVRMJ93rSlBp,Auditory,1,28,brownies,1
R_10wRVRMJ93rSlBp,Auditory,1,28,hotel,1
R_10wRVRMJ93rSlBp,Auditory,1,28,shampoo,1
R_10wRVRMJ93rSlBp,Auditory,1,28,toaster,1
R_10ZCMOuTlKI1xab,PermanentVisual,2,53,brownies,1
R_10ZCMOuTlKI1xab,PermanentVisual,2,53,hotel,1
R_10ZCMOuTlKI1xab,PermanentVisual,2,53,shampoo,1
R_10ZCMOuTlKI1xab,PermanentVisual,2,53,toaster,1
R_114oggHMiB4ihFP,PermanentVisual,2,32,brownies,0
R_114oggHMiB4ihFP,PermanentVisual,2,32,hotel,1
R_114oggHMiB4ihFP,PermanentVisual,2,32,shampoo,0
R_114oggHMiB4ihFP,PermanentVisual,2,32,toaster,1
R_115ywxI9opEsrVT,Auditory,2,34,brownies,1
R_115ywxI9opEsrVT,Auditory,2,34,hotel,1
R_115ywxI9opEsrVT,Auditory,2,34,shampoo,1
R_115ywxI9opEsrVT,Auditory,2,34,toaster,1
R_116hTUfLig43oBc,DisappearingVisual,1,54,brownies,1
R_116hTUfLig43oBc,DisappearingVisual,1,54,hotel,1
R_116hTUfLig43oBc,DisappearingVisual,1,54,shampoo,0
R_116hTUfLig43oBc,DisappearingVisual,1,54,toaster,0
R_11b84h9GDUSTx2W,PermanentVisual,2,43,brownies,1
R_11b84h9GDUSTx2W,PermanentVisual,2,43,hotel,0
R_11b84h9GDUSTx2W,PermanentVisual,2,43,shampoo,0
R_11b84h9GDUSTx2W,PermanentVisual,2,43,toaster,1
R_11bSIS7E2dV8r26,Auditory,2,30,brownies,1
R_11bSIS7E2dV8r26,Auditory,2,30,hotel,1
R_11bSIS7E2dV8r26,Auditory,2,30,shampoo,1
R_11bSIS7E2dV8r26,Auditory,2,30,toaster,1
R_11gudFsHHsHlhcG,PermanentVisual,1,31,brownies,0
R_11gudFsHHsHlhcG,PermanentVisual,1,31,hotel,1
R_11gudFsHHsHlhcG,PermanentVisual,1,31,shampoo,0
R_11gudFsHHsHlhcG,PermanentVisual,1,31,toaster,1
R_11iSN8pC62yYUsn,PermanentVisual,2,29,brownies,0
R_11iSN8pC62yYUsn,PermanentVisual,2,29,hotel,0
R_11iSN8pC62yYUsn,PermanentVisual,2,29,shampoo,1
R_11iSN8pC62yYUsn,PermanentVisual,2,29,toaster,1
R_11j7ZmXTeOFE1gq,DisappearingVisual,1,34,brownies,0
R_11j7ZmXTeOFE1gq,DisappearingVisual,1,34,hotel,0
R_11j7ZmXTeOFE1gq,DisappearingVisual,1,34,shampoo,0
R_11j7ZmXTeOFE1gq,DisappearingVisual,1,34,toaster,0
R_124r1YfMLPvK6mJ,PermanentVisual,2,23,brownies,0
R_124r1YfMLPvK6mJ,PermanentVisual,2,23,hotel,0
R_124r1YfMLPvK6mJ,PermanentVisual,2,23,shampoo,1
R_124r1YfMLPvK6mJ,PermanentVisual,2,23,toaster,0
R_124RqG6NgtGYE5R,PermanentVisual,1,42,brownies,0
R_124RqG6NgtGYE5R,PermanentVisual,1,42,hotel,0
R_124RqG6NgtGYE5R,PermanentVisual,1,42,shampoo,0
R_124RqG6NgtGYE5R,PermanentVisual,1,42,toaster,0
R_125S8tysWq7x4uy,Auditory,2,70,brownies,1
R_125S8tysWq7x4uy,Auditory,2,70,hotel,0
R_125S8tysWq7x4uy,Auditory,2,70,shampoo,1
R_125S8tysWq7x4uy,Auditory,2,70,toaster,1
R_1269G7AEdKSXIHK,PermanentVisual,2,30,brownies,0
R_1269G7AEdKSXIHK,PermanentVisual,2,30,hotel,0
R_1269G7AEdKSXIHK,PermanentVisual,2,30,shampoo,0
R_1269G7AEdKSXIHK,PermanentVisual,2,30,toaster,1
R_129Hm63li2TPzVb,DisappearingVisual,2,47,brownies,0
R_129Hm63li2TPzVb,DisappearingVisual,2,47,hotel,0
R_129Hm63li2TPzVb,DisappearingVisual,2,47,shampoo,1
R_129Hm63li2TPzVb,DisappearingVisual,2,47,toaster,1
R_12A5MTJQEDxLGUl,Auditory,2,31,brownies,0
R_12A5MTJQEDxLGUl,Auditory,2,31,hotel,0
R_12A5MTJQEDxLGUl,Auditory,2,31,shampoo,1
R_12A5MTJQEDxLGUl,Auditory,2,31,toaster,1
R_12eUHxeS5Goqbio,PermanentVisual,1,36,brownies,1
R_12eUHxeS5Goqbio,PermanentVisual,1,36,hotel,1
R_12eUHxeS5Goqbio,PermanentVisual,1,36,shampoo,1
R_12eUHxeS5Goqbio,PermanentVisual,1,36,toaster,1
R_12LMG2uZosKMu4c,Auditory,1,32,brownies,1
R_12LMG2uZosKMu4c,Auditory,1,32,hotel,1
R_12LMG2uZosKMu4c,Auditory,1,32,shampoo,0
R_12LMG2uZosKMu4c,Auditory,1,32,toaster,0
R_12mNXxZq6ewiZ7D,PermanentVisual,2,50,brownies,0
R_12mNXxZq6ewiZ7D,PermanentVisual,2,50,hotel,1
R_12mNXxZq6ewiZ7D,PermanentVisual,2,50,shampoo,0
R_12mNXxZq6ewiZ7D,PermanentVisual,2,50,toaster,0
R_12nyINhrYDHVoP6,DisappearingVisual,2,25,brownies,0
R_12nyINhrYDHVoP6,DisappearingVisual,2,25,hotel,1
R_12nyINhrYDHVoP6,DisappearingVisual,2,25,shampoo,0
R_12nyINhrYDHVoP6,DisappearingVisual,2,25,toaster,0
R_12o4Rst59FvL2y4,Auditory,2,25,brownies,1
R_12o4Rst59FvL2y4,Auditory,2,25,hotel,1
R_12o4Rst59FvL2y4,Auditory,2,25,shampoo,1
R_12o4Rst59FvL2y4,Auditory,2,25,toaster,1
R_12Qm5FpNNA4vpig,PermanentVisual,2,23,brownies,1
R_12Qm5FpNNA4vpig,PermanentVisual,2,23,hotel,0
R_12Qm5FpNNA4vpig,PermanentVisual,2,23,shampoo,0
R_12Qm5FpNNA4vpig,PermanentVisual,2,23,toaster,1
R_12tepfXMrdWkOMq,DisappearingVisual,2,50,brownies,0
R_12tepfXMrdWkOMq,DisappearingVisual,2,50,hotel,0
R_12tepfXMrdWkOMq,DisappearingVisual,2,50,shampoo,1
R_12tepfXMrdWkOMq,DisappearingVisual,2,50,toaster,0
R_12ukHBlD2SV5AYs,Auditory,2,25,brownies,1
R_12ukHBlD2SV5AYs,Auditory,2,25,hotel,1
R_12ukHBlD2SV5AYs,Auditory,2,25,shampoo,1
R_12ukHBlD2SV5AYs,Auditory,2,25,toaster,1
R_12zseEzNELPQZPc,PermanentVisual,2,18,brownies,0
R_12zseEzNELPQZPc,PermanentVisual,2,18,hotel,0
R_12zseEzNELPQZPc,PermanentVisual,2,18,shampoo,0
R_12zseEzNELPQZPc,PermanentVisual,2,18,toaster,0
R_1BPFOeDL0MnkbHM,Auditory,2,44,brownies,1
R_1BPFOeDL0MnkbHM,Auditory,2,44,hotel,1
R_1BPFOeDL0MnkbHM,Auditory,2,44,shampoo,1
R_1BPFOeDL0MnkbHM,Auditory,2,44,toaster,1
R_1BQ5YAD3eEFNo3K,PermanentVisual,2,28,brownies,1
R_1BQ5YAD3eEFNo3K,PermanentVisual,2,28,hotel,1
R_1BQ5YAD3eEFNo3K,PermanentVisual,2,28,shampoo,0
R_1BQ5YAD3eEFNo3K,PermanentVisual,2,28,toaster,0
R_1BRC1m3WWMJL701,DisappearingVisual,1,44,brownies,0
R_1BRC1m3WWMJL701,DisappearingVisual,1,44,hotel,0
R_1BRC1m3WWMJL701,DisappearingVisual,1,44,shampoo,0
R_1BRC1m3WWMJL701,DisappearingVisual,1,44,toaster,0
R_1BVEr7CeiGnTckm,DisappearingVisual,2,29,brownies,1
R_1BVEr7CeiGnTckm,DisappearingVisual,2,29,hotel,0
R_1BVEr7CeiGnTckm,DisappearingVisual,2,29,shampoo,0
R_1BVEr7CeiGnTckm,DisappearingVisual,2,29,toaster,0
R_1Bwat9znTw6WycN,Auditory,1,30,brownies,0
R_1Bwat9znTw6WycN,Auditory,1,30,hotel,0
R_1Bwat9znTw6WycN,Auditory,1,30,shampoo,0
R_1Bwat9znTw6WycN,Auditory,1,30,toaster,1
R_1BWKN3tw0OixHiS,Auditory,1,31,brownies,1
R_1BWKN3tw0OixHiS,Auditory,1,31,hotel,1
R_1BWKN3tw0OixHiS,Auditory,1,31,shampoo,1
R_1BWKN3tw0OixHiS,Auditory,1,31,toaster,1
R_1C0UAEiOlOV8Xwi,Auditory,2,28,brownies,1
R_1C0UAEiOlOV8Xwi,Auditory,2,28,hotel,1
R_1C0UAEiOlOV8Xwi,Auditory,2,28,shampoo,0
R_1C0UAEiOlOV8Xwi,Auditory,2,28,toaster,1
R_1C16bRoutIrUnfC,Auditory,2,34,brownies,0
R_1C16bRoutIrUnfC,Auditory,2,34,hotel,0
R_1C16bRoutIrUnfC,Auditory,2,34,shampoo,1
R_1C16bRoutIrUnfC,Auditory,2,34,toaster,1
R_1C1GXiPGUH0iXBb,PermanentVisual,1,39,brownies,0
R_1C1GXiPGUH0iXBb,PermanentVisual,1,39,hotel,0
R_1C1GXiPGUH0iXBb,PermanentVisual,1,39,shampoo,0
R_1C1GXiPGUH0iXBb,PermanentVisual,1,39,toaster,0
R_1C3EtqFiVygAoqv,Auditory,1,21,brownies,0
R_1C3EtqFiVygAoqv,Auditory,1,21,hotel,1
R_1C3EtqFiVygAoqv,Auditory,1,21,shampoo,0
R_1C3EtqFiVygAoqv,Auditory,1,21,toaster,0
R_1Cay4jpf7DyOt9W,Auditory,2,21,brownies,1
R_1Cay4jpf7DyOt9W,Auditory,2,21,hotel,0
R_1Cay4jpf7DyOt9W,Auditory,2,21,shampoo,1
R_1Cay4jpf7DyOt9W,Auditory,2,21,toaster,1
R_1CCS8mcvrUAqynq,PermanentVisual,1,38,brownies,1
R_1CCS8mcvrUAqynq,PermanentVisual,1,38,hotel,1
R_1CCS8mcvrUAqynq,PermanentVisual,1,38,shampoo,0
R_1CCS8mcvrUAqynq,PermanentVisual,1,38,toaster,0
R_1CDBCHEm7i8eMN1,PermanentVisual,1,38,brownies,1
R_1CDBCHEm7i8eMN1,PermanentVisual,1,38,hotel,1
R_1CDBCHEm7i8eMN1,PermanentVisual,1,38,shampoo,1
R_1CDBCHEm7i8eMN1,PermanentVisual,1,38,toaster,1
R_1CIoE5TO1yNJRwJ,Auditory,2,28,brownies,0
R_1CIoE5TO1yNJRwJ,Auditory,2,28,hotel,0
R_1CIoE5TO1yNJRwJ,Auditory,2,28,shampoo,0
R_1CIoE5TO1yNJRwJ,Auditory,2,28,toaster,1
R_1CjwZdVaWLZpagI,DisappearingVisual,1,33,brownies,0
R_1CjwZdVaWLZpagI,DisappearingVisual,1,33,hotel,1
R_1CjwZdVaWLZpagI,DisappearingVisual,1,33,shampoo,0
R_1CjwZdVaWLZpagI,DisappearingVisual,1,33,toaster,1
R_1Ckc3zjSUEyAUFL,Auditory,2,27,brownies,1
R_1Ckc3zjSUEyAUFL,Auditory,2,27,hotel,1
R_1Ckc3zjSUEyAUFL,Auditory,2,27,shampoo,1
R_1Ckc3zjSUEyAUFL,Auditory,2,27,toaster,0
R_1ClMacztyvHStPn,PermanentVisual,2,28,brownies,1
R_1ClMacztyvHStPn,PermanentVisual,2,28,hotel,1
R_1ClMacztyvHStPn,PermanentVisual,2,28,shampoo,1
R_1ClMacztyvHStPn,PermanentVisual,2,28,toaster,1
R_1Cm8lPOkZRzGFuy,DisappearingVisual,1,39,brownies,0
R_1Cm8lPOkZRzGFuy,DisappearingVisual,1,39,hotel,0
R_1Cm8lPOkZRzGFuy,DisappearingVisual,1,39,shampoo,0
R_1Cm8lPOkZRzGFuy,DisappearingVisual,1,39,toaster,0
R_1CpwSvZ5ageRjBo,DisappearingVisual,2,37,brownies,1
R_1CpwSvZ5ageRjBo,DisappearingVisual,2,37,hotel,1
R_1CpwSvZ5ageRjBo,DisappearingVisual,2,37,shampoo,1
R_1CpwSvZ5ageRjBo,DisappearingVisual,2,37,toaster,1
R_1CsEneoVPHLzqJo,PermanentVisual,1,46,brownies,1
R_1CsEneoVPHLzqJo,PermanentVisual,1,46,hotel,1
R_1CsEneoVPHLzqJo,PermanentVisual,1,46,shampoo,1
R_1CsEneoVPHLzqJo,PermanentVisual,1,46,toaster,1
R_1cU0ibRxHs0dCks,Auditory,2,28,brownies,1
R_1cU0ibRxHs0dCks,Auditory,2,28,hotel,0
R_1cU0ibRxHs0dCks,Auditory,2,28,shampoo,0
R_1cU0ibRxHs0dCks,Auditory,2,28,toaster,0
R_1cUIeVC6L1BroyM,PermanentVisual,2,49,brownies,1
R_1cUIeVC6L1BroyM,PermanentVisual,2,49,hotel,0
R_1cUIeVC6L1BroyM,PermanentVisual,2,49,shampoo,1
R_1cUIeVC6L1BroyM,PermanentVisual,2,49,toaster,0
R_1cUqWBzZNQi0YkU,Auditory,1,21,brownies,1
R_1cUqWBzZNQi0YkU,Auditory,1,21,hotel,1
R_1cUqWBzZNQi0YkU,Auditory,1,21,shampoo,1
R_1cUqWBzZNQi0YkU,Auditory,1,21,toaster,1
R_1CvUhAzlndBYfbV,DisappearingVisual,2,64,brownies,1
R_1CvUhAzlndBYfbV,DisappearingVisual,2,64,hotel,1
R_1CvUhAzlndBYfbV,DisappearingVisual,2,64,shampoo,1
R_1CvUhAzlndBYfbV,DisappearingVisual,2,64,toaster,1
R_1CwGD9MUUpraqqq,PermanentVisual,2,50,brownies,1
R_1CwGD9MUUpraqqq,PermanentVisual,2,50,hotel,1
R_1CwGD9MUUpraqqq,PermanentVisual,2,50,shampoo,0
R_1CwGD9MUUpraqqq,PermanentVisual,2,50,toaster,1
R_1cXKQrkjYMugyJY,PermanentVisual,2,29,brownies,1
R_1cXKQrkjYMugyJY,PermanentVisual,2,29,hotel,1
R_1cXKQrkjYMugyJY,PermanentVisual,2,29,shampoo,1
R_1cXKQrkjYMugyJY,PermanentVisual,2,29,toaster,1
R_1cXKVFEoKo7kAOy,Auditory,2,22,brownies,0
R_1cXKVFEoKo7kAOy,Auditory,2,22,hotel,0
R_1cXKVFEoKo7kAOy,Auditory,2,22,shampoo,0
R_1cXKVFEoKo7kAOy,Auditory,2,22,toaster,1
R_1cY2LBDJwJ88F3k,DisappearingVisual,2,70,brownies,0
R_1cY2LBDJwJ88F3k,DisappearingVisual,2,70,hotel,1
R_1cY2LBDJwJ88F3k,DisappearingVisual,2,70,shampoo,1
R_1cY2LBDJwJ88F3k,DisappearingVisual,2,70,toaster,1
R_1cYBPKO7sHztGly,DisappearingVisual,2,60,brownies,0
R_1cYBPKO7sHztGly,DisappearingVisual,2,60,hotel,0
R_1cYBPKO7sHztGly,DisappearingVisual,2,60,shampoo,0
R_1cYBPKO7sHztGly,DisappearingVisual,2,60,toaster,1
R_1CyCAVqFzCPLiiO,DisappearingVisual,2,44,brownies,1
R_1CyCAVqFzCPLiiO,DisappearingVisual,2,44,hotel,1
R_1CyCAVqFzCPLiiO,DisappearingVisual,2,44,shampoo,0
R_1CyCAVqFzCPLiiO,DisappearingVisual,2,44,toaster,1
R_1cYroweB0sMzJq5,Auditory,1,55,brownies,1
R_1cYroweB0sMzJq5,Auditory,1,55,hotel,1
R_1cYroweB0sMzJq5,Auditory,1,55,shampoo,1
R_1cYroweB0sMzJq5,Auditory,1,55,toaster,1
R_1d0Ts3Y90uHrItr,DisappearingVisual,1,31,brownies,0
R_1d0Ts3Y90uHrItr,DisappearingVisual,1,31,hotel,0
R_1d0Ts3Y90uHrItr,DisappearingVisual,1,31,shampoo,0
R_1d0Ts3Y90uHrItr,DisappearingVisual,1,31,toaster,1
R_1d0uFhK0lYQ3INA,DisappearingVisual,2,30,brownies,0
